<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_VNINDEX,20200708,129703,3030047000000,1218958384900,108918,400719440,401441360
CC_HNX-INDEX,20200708,12809,270931155500,69495741000,13319,73435600,64413400
CC_VNINDEX,20200707,158618,4532430000000,1093461730340,145100,515813040,582798000
CC_HNX-INDEX,20200707,14305,349337325300,22353707300,15360,63386100,78188900
CC_VNINDEX,20200706,116445,3315034000000,476878441960,116494,383080390,406434950
CC_HNX-INDEX,20200706,14535,333040985000,38035590000,13942,67838300,72883700
CC_VNINDEX,20200703,115894,2846097000000,590274884000,110063,351061080,401858040
CC_HNX-INDEX,20200703,15821,334611456300,31346715800,14156,69791700,73278300
CC_VNINDEX,20200702,121423,2900739000000,802561629300,108008,393186890,439193790
CC_HNX-INDEX,20200702,13260,224405361300,17349153000,12864,59878200,62466200
CC_VNINDEX,20200701,133241,3054185990000,1510991488950,108032,534891620,448113830
CC_HNX-INDEX,20200701,16218,297460231100,33140285600,13024,77853400,56978800
CC_VNINDEX,20200630,156878,4036739000000,758133712650,129496,530394680,615324210
CC_HNX-INDEX,20200630,18090,449010074700,127871891700,15733,88875900,93911700
CC_VNINDEX,20200629,195261,4391118000000,943269891800,130865,553935670,637340780
CC_HNX-INDEX,20200629,18598,482762695300,103852708400,15993,83177600,96376000
CC_VNINDEX,20200626,144945,3081443440000,781303510900,122943,498202270,593401420
CC_HNX-INDEX,20200626,19728,378777973700,97218278300,18319,87850800,99811800
CC_VNINDEX,20200625,173767,3861412660000,588331222500,116466,622184710,532406510
CC_HNX-INDEX,20200625,18738,422109065100,52470197500,14295,106773900,96939100
CC_VNINDEX,20200624,170294,4153217000000,525462243000,142337,575678940,728177160
CC_HNX-INDEX,20200624,19383,529996992600,118923870700,17480,89555600,117169300
CC_VNINDEX,20200623,187414,5193214100000,1549526511580,165273,738415120,787585840
CC_HNX-INDEX,20200623,22439,593552131800,63165997900,18739,109094700,117636200
CC_VNINDEX,20200622,163417,4323409150000,385053175450,148149,592156100,667031070
CC_HNX-INDEX,20200622,20286,511923488800,68337403700,17691,101632500,109779500
CC_VNINDEX,20200619,169167,4560296980000,1547104894380,135391,761429880,723998990
CC_HNX-INDEX,20200619,17593,439844513600,73635136300,15869,91505700,101522300
CC_VNINDEX,20200618,143528,3091146160000,937654823080,123003,450539800,634843590
