<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_HNX-INDEX,20210705,84320,138292126,5248522,205270,1760553000,2226181000
NN_VNINDEX,20210705,84320,763287300,0,205270,1760553000,2226181000
NN_VNINDEX,20210702,84320,638260100,47493064,205270,1760553000,2226181000
NN_HNX-INDEX,20210702,84320,139570599,8198188,205270,1760553000,2226181000
NN_VNINDEX,20210701,84320,688259900,44229394,205270,1760553000,2226181000
NN_HNX-INDEX,20210701,84320,151103067,5294406,205270,1760553000,2226181000
NN_VNINDEX,20210630,84320,520397700,54111138,205270,1760553000,2226181000
NN_HNX-INDEX,20210630,84320,99873579,3249008,205270,1760553000,2226181000
NN_VNINDEX,20210629,84320,597483200,25395202,205270,1760553000,2226181000
NN_HNX-INDEX,20210629,84320,128677504,4179978,205270,1760553000,2226181000
NN_VNINDEX,20210628,84320,643843600,40642596,205270,1760553000,2226181000
NN_HNX-INDEX,20210628,84320,128011369,2487459,205270,1760553000,2226181000
NN_VNINDEX,20210625,84320,510070000,71418848,205270,1760553000,2226181000
NN_HNX-INDEX,20210625,84320,117562574,693759,205270,1760553000,2226181000
NN_VNINDEX,20210624,84320,529135200,49903658,205270,1760553000,2226181000
NN_HNX-INDEX,20210624,84320,89522419,3285202,205270,1760553000,2226181000
NN_VNINDEX,20210623,84320,635671800,62709176,205270,1760553000,2226181000
NN_HNX-INDEX,20210623,84320,122072303,4174988,205270,1760553000,2226181000
NN_VNINDEX,20210622,84320,685249500,46752305,205270,1760553000,2226181000
NN_HNX-INDEX,20210622,84320,139095386,24486429,205270,1760553000,2226181000
NN_VNINDEX,20210621,84320,722673600,34360280,205270,1760553000,2226181000
NN_HNX-INDEX,20210621,84320,136596831,7544456,205270,1760553000,2226181000
NN_VNINDEX,20210618,84320,741785200,55151899,205270,1760553000,2226181000
NN_HNX-INDEX,20210618,84320,134983259,4617413,205270,1760553000,2226181000
NN_VNINDEX,20210617,84320,704236700,51920039,205270,1760553000,2226181000
NN_HNX-INDEX,20210617,84320,146396249,7185052,205270,1760553000,2226181000
NN_VNINDEX,20210616,84320,731329200,25934450,205270,1760553000,2226181000
